87	107	38	359290052830894	1994-7-9	988
88	40	150	353160043543086	1999-6-22	231
89	36	68	012336008922696	1990-3-23	793
90	126	35	358031068175606	2011-9-17	579
91	99	134	329304007344328	2013-2-12	716
92	117	113	011948003067250	1991-8-15	975
93	136	140	353160043498299	2006-9-27	697
94	75	32	358031063422920	2015-7-21	184
95	60	149	353327052963097	2007-11-19	390
96	121	151	353258078221469	2000-2-4	640
97	124	20	011245002168654	1990-6-26	272
98	154	17	353258075729282	1990-8-13	516
99	8	164	013327009670573	2017-11-26	37
100	152	69	011948001600060	1993-9-20	406
101	134	9	358815052031860	2006-12-13	433
102	156	4	353160045931230	2008-7-23	30
103	50	86	355114054227178	2003-8-16	766
104	98	108	351710052364303	2005-3-23	219
105	26	81	359290053738690	2014-6-21	564
106	5	72	353285042941518	2012-9-24	622
107	16	139	012336006686533	2013-5-27	677
108	9	167	012336006212017	2009-11-18	260
109	42	154	358031061109362	2017-1-28	910
110	144	88	357441057152832	1997-3-14	640
111	133	153	357441059944053	1997-10-25	585
112	6	123	012336007527314	2018-9-28	239
113	3	99	359092054259498	2004-2-17	738
114	151	61	011612005701411	2011-5-1	361
115	146	107	359254069998540	2008-3-13	803
116	14	122	011245004075493	2014-12-7	595
117	127	26	353258076226494	1998-4-7	761
118	94	56	011612008195116	2017-1-23	327
119	71	109	351549008760291	2013-8-9	29
120	128	85	353918053035222	2018-9-28	134
121	57	24	013327002436683	2009-6-25	232
122	138	31	355114053846655	2011-7-8	318
123	109	13	353918056572692	2004-11-9	465
124	68	125	353258071730961	1998-3-24	480
125	31	7	358031064577763	2009-6-9	952
126	142	156	358031063021961	1992-2-6	566
127	4	94	350890807281266	2002-6-20	309
128	167	102	353285048300636	1996-2-1	56
129	120	162	359206056516651	1995-11-18	82
130	63	2	359254069621258	2017-1-28	75
131	108	137	013006008640411	2011-8-4	976
132	24	114	359092059617336	1990-11-12	760
133	96	147	358031068402323	2008-6-16	478
134	119	6	357441058524237	2005-8-21	502
135	76	3	355114057821415	2004-7-28	424
136	66	129	358387069683802	2010-11-18	197
137	35	53	358967048356552	2009-12-7	954
138	159	121	359254065936544	2002-5-6	9
139	101	126	359206055325351	2007-7-1	651
140	155	87	356996016824764	2005-10-13	560
141	157	98	358387061307657	2013-6-25	858
142	18	163	353285046658829	2012-3-3	896
143	46	120	353258073053800	2016-11-6	624
144	47	96	358240053573515	1994-8-19	86
145	32	119	351710058101188	2011-6-20	645
146	30	145	358967045991732	1992-12-4	789
147	141	142	357441055333947	2013-6-23	668
148	149	29	351549009912008	2008-4-27	279
149	125	155	355114056355647	2010-11-17	873
150	2	159	329304002989382	2007-10-23	536
151	81	66	353160041980421	2014-3-20	844
152	158	46	358755059266228	2018-1-25	71
153	15	51	350890803823251	2007-11-20	676
154	43	82	358031061407410	2003-1-18	4
155	58	124	353327054701479	2006-8-25	986
156	110	84	351549008410228	2012-3-7	590
157	163	152	353285044982577	1992-3-16	685
158	129	160	359290054995349	2011-9-18	462
159	161	170	012336007042520	2016-7-20	443
160	20	42	358031067357734	2018-8-3	845
161	65	116	353258078442669	2008-10-7	872
162	41	97	359254066462615	2014-9-24	666
163	27	55	358755055956152	1993-5-7	790
164	53	11	358815054027825	1999-9-25	381
165	153	44	013327003227628	2001-2-13	354
166	17	34	355114057840985	2018-8-12	31
167	25	157	358240054382999	2007-10-19	253
168	28	146	359290053418038	2013-8-28	900
169	88	58	358755057785369	1997-5-1	579
170	115	39	358815054986251	2015-11-17	289
